"3406","AMANDA","BOSTON","2019-01-01 20:46:10"
"3407","BIG GIRLS DON'T CRY","FERGIE","2019-01-01 20:51:45"
"3408","ZUHAUSE","MAX GIESINGER","2019-01-01 20:56:48"
"3409","MALIBU","MILEY CYRUS","2019-01-01 21:00:21"
"3410","KISS ME","REA GARVEY","2019-01-01 21:02:23"
"3411","NEED YOU NOW","LADY ANTEBELLUM","2019-01-01 21:06:41"
"3412","MI CULPA","LOCO ESCRITO","2019-01-01 21:10:13"
"3413","AGAIN","LENNY KRAVITZ","2019-01-01 21:13:15"
"3414","HAPPIER","MARSHMELLO feat. BASTILLE","2019-01-01 21:18:34"
"3415","TAKE YOUR BREATH AWAY","BERLIN","2019-01-01 21:22:06"
"3416","LOVE YOURSELF","JUSTIN BIEBER","2019-01-01 21:24:53"
"3417","CLUB CAN'T HANDLE ME","FLO RIDA feat. DAVID GUETTA","2019-01-01 21:31:13"
"3418","TAUSEND TATTOOS","SIDO","2019-01-01 21:33:30"
"3419","THESE WORDS","NATASHA BEDINGFIELD","2019-01-01 21:35:16"
"3420","GIRLS GO WILD (Clean Edit)","LP","2019-01-01 21:40:09"
"3421","ALL GOOD THINGS (COME TO AN END)","NELLY FURTADO","2019-01-01 21:42:25"
"3422","AN WUNDER","WINCENT WEISS","2019-01-01 21:48:01"
"3423","PHOTOGRAPH (Felix Jaehn Remix)","ED SHEERAN","2019-01-01 21:52:08"
"3424","HAVE IT ALL","JASON MRAZ","2019-01-01 21:55:10"
"3425","NATURAL","IMAGINE DRAGONS","2019-01-01 21:57:57"
"3426","ALL FOR YOU","YEARS & YEARS","2019-01-01 22:01:44"
"3427","THE REASON","HOOBASTANK","2019-01-01 22:05:02"
"3428","SHALLOW","LADY GAGA & BRADLEY COOPER","2019-01-01 22:08:34"
"3429","LIVE TO TELL","MADONNA","2019-01-01 22:12:37"
"3430","SOMETHING JUST LIKE THIS","THE CHAINSMOKERS & COLDPLAY","2019-01-01 22:16:55"
"3431","BROKEN STRINGS","JAMES MORRISON feat. NELLY FURTADO","2019-01-01 22:20:27"
"3432","HAPPY NOW","ZEDD feat. ELLEY DUHÉ","2019-01-01 22:24:20"
"3433","FATHER AND SON","RONAN KEATING feat. YUSUF ISLAM","2019-01-01 22:27:52"
"3434","ALL I AM","JESS GLYNNE","2019-01-01 22:30:54"
"3435","NEW YEARS DAY","U2","2019-01-01 22:35:28"
"3436","MERCY","DUFFY","2019-01-01 22:39:45"
"3437","REMIND ME TO FORGET","KYGO & MIGUEL","2019-01-01 22:42:02"
"3438","SHOW ME LOVE","ROBIN SCHULZ & J.U.D.G.E.","2019-01-01 22:46:04"
"3439","HIM & I","G-EAZY & HALSEY","2019-01-01 22:49:07"
"3440","HOLD YOUR HEAD UP","ANNA ROSSINELLI","2019-01-01 22:55:11"
"3441","STARK","ICH + ICH","2019-01-01 22:57:27"
"3442","AFTER THE SKY (Underscore Version)","RSO NACHTMIX","2019-01-01 23:01:45"
"3443","HOPE OF FREEDOM","RSO NACHTMIX","2019-01-01 23:08:51"
"3444","SYMPHONICELECTRICITY","RSO NACHTMIX","2019-01-01 23:10:08"
"3445","SAD BOSSA","RSO NACHTMIX","2019-01-01 23:11:56"
"3446","EASY VAR. 1","RSO NACHTMIX","2019-01-01 23:14:12"
"3447","OBSERVING THE BEACH FROM OUTER SPACE","RSO NACHTMIX","2019-01-01 23:20:15"
"3448","MORNING SKY","RSO NACHTMIX","2019-01-01 23:25:18"
"3449","COCKTAIL LOUNGE","RSO NACHTMIX","2019-01-01 23:27:50"
"3450","DREAMING GUITAR","RSO NACHTMIX","2019-01-01 23:31:22"
"3451","EVENING WARMTH","RSO NACHTMIX","2019-01-01 23:34:54"
"3452","BACK IN THE DAYS","RSO NACHTMIX","2019-01-01 23:36:10"
"3453","OCEANS","RSO NACHTMIX","2019-01-01 23:44:38"
"3454","CHEER UP","RSO NACHTMIX","2019-01-01 23:48:26"
"3455","SOMETHING IN THE AIR","RSO NACHTMIX","2019-01-01 23:53:29"
"3456","REMEMBER ME","RSO NACHTMIX","2019-01-01 23:58:07"
"3457","PRANA MOTEL","RSO NACHTMIX","2019-01-02 00:03:40"
"3458","SOONER RATHER THAN LATER","RSO NACHTMIX","2019-01-02 00:04:10"
"3459","CALM LEVEL","RSO NACHTMIX","2019-01-02 00:07:27"
"3460","ROMANTIC MEETING","RSO NACHTMIX","2019-01-02 00:11:30"
"3461","MILES AWAY","RSO NACHTMIX","2019-01-02 00:15:47"
"3462","MODERATION MUSIC LOOP (Happy Mix)","RSO NACHTMIX","2019-01-02 00:18:49"
"3463","SAND","RSO NACHTMIX","2019-01-02 00:20:35"
"3464","FOLLOW ME","RSO NACHTMIX","2019-01-02 00:25:09"
"3465","ALL MY LOVE","RSO NACHTMIX","2019-01-02 00:34:46"
"3466","TWO WORLDS","RSO NACHTMIX","2019-01-02 00:40:34"
"3467","MY SWEET LOVE","RSO NACHTMIX","2019-01-02 00:44:52"
"3468","JASMINE","RSO NACHTMIX","2019-01-02 00:48:44"
"3469","FRAME OF MIND","RSO NACHTMIX","2019-01-02 00:53:13"
"3470","HUMILITY","RSO NACHTMIX","2019-01-02 00:59:02"
"3471","BEAUTIFUL SUNDAY","RSO NACHTMIX","2019-01-02 01:02:50"
"3472","EASY MORNING","RSO NACHTMIX","2019-01-02 01:05:40"
"3473","FEEL FINE","RSO NACHTMIX","2019-01-02 01:11:45"
"3474","IN MY MIND (Underscore Version)","RSO NACHTMIX","2019-01-02 01:15:20"
"3475","FOREST CALLS","RSO NACHTMIX","2019-01-02 01:18:52"
"3476","HAPPY LIFE","RSO NACHTMIX","2019-01-02 01:24:11"
"3477","HOW LIFE WILL BE","RSO NACHTMIX","2019-01-02 01:29:45"
"3478","LOUNGE NIGHT","RSO NACHTMIX","2019-01-02 01:32:01"
"3479","PORTS OF FAREWELL","RSO NACHTMIX","2019-01-02 01:36:41"
"3480","DE MINERALE","RSO NACHTMIX","2019-01-02 01:41:29"
"3481","MALIBU BAY","RSO NACHTMIX","2019-01-02 01:45:01"
"3482","SPA YOUR CHILL","RSO NACHTMIX","2019-01-02 01:49:18"
